NBI-00001|lin2 jin4|AS1|510|M|2 3|1.232
NBI-00002|gu1 zhi2|AS3|216|F|3 3|0.944
NBI-00003|xun2 qiu2|AS1|324|F|3 3|1.136
NBI-00004|jia1 qiang2|CSM|543|F|1 3|0.944
NBI-00005|zhong4 ren4|CSM|543|F|1 1|0.928
NBI-00006|yi4 ming2|AS3|239|F|4 3|0.992
NBI-00007|lan2 zhou1|AS1|371|F|1 1|0.944
NBI-00008|mu4 qian2|CSM|543|F|1 3|1.008
NBI-00009|dan4 shi4|CSM|543|F|1 3|0.976
NBI-00010|ban4 nian2|THS|050|F|4 3|0.912
NBI-00011|chang2 an1|THS|026|F|3 1|1.456
NBI-00012|xiang1 guan1|AS1|134|M|3 3|1.056
NBI-00013|san1 da4|AS1|096|M|3 4|0.976
NBI-00014|sui1 ran2|AS3|194|F|1 1|1.152
NBI-00015|bei4 wei4|AS3|524|M|4 3|1.088
NBI-00016|zheng4 wang2|THS|272|F|4 3|1.216
NBI-00017|he2 an4|THS|064|F|2 1|1.152
NBI-00018|jing3 fang1|AS3|212|F|4 3|0.976
NBI-00019|mu4 qian2|THS|035|F|4 3|2.192
NBI-00020|yuan2 you3|AS3|231|F|3 4|1.232
NBI-00021|dian4 ying3|AS3|613|M|3 1|1.056
NBI-00022|gong1 si1|AS1|403|F|1 3|1.104
NBI-00023|dao4 wei4|CSM|543|F|3 4|0.976
NBI-00024|bu2 qi4|THS|061|F|3 3|1.056
NBI-00025|liu4 wan4|AS3|270|F|3 3|1.072
NBI-00026|yuan4 ba4|THS|052|F|3 3|1.040
NBI-00027|hui4 yi4|CSM|543|F|1 3|1.008
NBI-00028|xian4 zhuang4|AS3|195|F|4 3|1.040
NBI-00029|guan4 che1|AS3|539|M|4 3|0.944
NBI-00030|guang3 zhou1|AS1|123|M|4 3|1.120
NBI-00031|ya4 zhou1|THS|046|F|4 3|0.976
NBI-00032|bao1 lan3|AS1|410|F|3 3|0.992
NBI-00033|wan4 xiang4|THS|042|F|3 4|1.184
NBI-00034|neng2 yuan2|AS1|452|F|2 4|0.912
NBI-00035|yin4 ni2|THS|275|M|4 3|0.912
NBI-00036|sheng1 cun2|CSM|543|F|3 3|1.008
NBI-00037|mu4 qian2|CSM|543|F|1 3|0.960
NBI-00038|cheng2 yang2|THS|042|F|3 2|1.088
NBI-00039|xie2 yi4|THS|033|F|3 1|0.944
NBI-00040|dian4 ying2|AS3|525|M|3 2|1.936
NBI-00041|yu4 miao2|THS|043|F|1 3|1.104
NBI-00042|hao4 da4|THS|053|F|3 4|0.944
NBI-00043|ye2 ke3|AS3|249|F|3 3|1.104
NBI-00044|dong4 yuan2|AS3|260|F|3 3|1.152
NBI-00045|yu2 mu4|THS|277|F|3 4|1.072
NBI-00046|si4 qian1|AS3|533|M|4 3|1.232
NBI-00047|tan2 hua1|THS|052|F|3 3|1.408
NBI-00048|er4 dai4|AS1|398|F|3 3|1.136
NBI-00049|er4 ling2|AS1|465|F|1 1|1.008
NBI-00050|lian2 dui4|THS|040|F|3 3|1.744
NBI-00051|er4 ming2|AS1|378|F|4 3|0.960
NBI-00052|wu4 jia4|AS3|524|M|3 3|1.056
NBI-00053|zang1 min2|AS3|250|F|1 1|1.056
NBI-00054|yuan2 you3|AS3|521|M|4 3|0.944
NBI-00055|si4 bai3|AS3|512|F|1 4|1.088
NBI-00056|yu2 yang2|THS|035|F|3 2|1.008
NBI-00057|zui4 di1|AS1|435|F|1 1|0.960
NBI-00058|cao2 yu2|THS|033|F|1 4|1.200
NBI-00059|dian4 lu4|AS1|344|F|3 4|0.960
NBI-00060|jie2 ri4|AS3|237|F|3 3|0.944
NBI-00061|xia4 ye4|THS|021|F|1 1|1.440
NBI-00062|hai2 hui4|AS1|422|F|3 4|0.928
NBI-00063|dan4 zhe4|AS3|518|M|3 4|0.976
NBI-00064|er4 ling2|AS1|139|M|3 3|0.944
NBI-00065|re4 lie4|AS3|525|M|3 3|1.040
NBI-00066|hang2 yun4|AS1|101|M|2 3|0.992
NBI-00067|zhi2 wu4|AS3|264|F|2 1|1.328
NBI-00068|huan1 ying2|CSM|543|F|3 3|0.928
NBI-00069|fa3 yuan4|AS1|335|F|3 3|1.120
NBI-00070|ban1 chu1|AS1|310|F|3 3|0.944
NBI-00071|ri4 dian4|AS3|518|M|3 4|1.024
NBI-00072|zhuan1 ye4|THS|023|F|3 4|0.944
NBI-00073|zhe4 xie1|THS|062|F|4 3|1.600
NBI-00074|long2 dong4|AS1|447|F|1 4|1.504
NBI-00075|cuo4 guo4|AS1|371|F|1 4|1.008
NBI-00076|xian4 jin4|AS3|523|M|3 3|0.944
NBI-00077|er4 ling2|AS3|524|M|3 3|1.088
NBI-00078|wu4 mei3|AS3|539|M|3 3|0.992
NBI-00079|yao1 san1|AS3|216|F|3 3|1.024
NBI-00080|yi2 liang4|THS|544|M|3 3|1.008
NBI-00081|hua2 ning2|AS1|569|M|4 3|0.928
NBI-00082|wu4 jia4|AS1|481|F|3 4|1.248
NBI-00083|kang1 mou3|AS3|160|F|1 4|1.024
NBI-00084|fu4 yuan2|AS3|513|F|1 4|1.536
NBI-00085|er4 ling2|AS1|094|M|4 3|0.928
NBI-00086|wang2 qin2|THS|063|F|4 2|1.072
NBI-00087|ao2 mou3|AS1|074|M|2 4|1.248
NBI-00088|jian4 li4|AS1|574|M|3 1|0.960
NBI-00089|shi4 gu4|AS1|461|F|1 4|1.120
NBI-00090|ju4 you3|AS3|515|M|3 3|0.992
NBI-00091|jiu3 si4|AS3|245|F|4 3|1.168
NBI-00092|nei4 ge4|AS1|346|F|3 1|0.944
NBI-00093|gong1 yuan2|AS3|515|M|3 4|1.104
NBI-00094|ju4 xi1|CSM|543|F|3 1|1.072
NBI-00095|gao1 jia4|AS3|165|F|1 1|1.408
NBI-00096|ku4 ke4|AS1|126|M|1 3|1.088
NBI-00097|xing4 yun4|AS3|269|F|1 1|1.024
NBI-00098|fang2 di4|AS1|625|M|4 3|1.072
NBI-00099|bi4 yao4|AS1|433|F|1 4|1.008
NBI-00100|yun2 ceng2|THS|024|F|2 3|0.928
NBI-00101|yan2 jin4|THS|028|F|2 1|0.944
NBI-00102|xi4 tong3|THS|023|F|3 3|0.928
NBI-00103|shi4 nei4|AS3|262|F|3 3|0.928
NBI-00104|ji2 you3|AS3|517|M|3 3|1.808
NBI-00105|zan4 xing2|AS1|391|F|1 3|0.944
NBI-00106|tui4 xiu1|AS3|161|F|4 3|1.344
NBI-00107|shi4 cun2|AS3|539|M|3 3|0.912
NBI-00108|mang3 she2|AS3|180|F|2 1|1.008
NBI-00109|dong4 tai4|AS1|353|F|1 4|1.024
NBI-00110|zhe4 jiang1|AS1|598|M|3 3|1.056
NBI-00111|gui4 yun2|THS|544|M|3 2|0.960
NBI-00112|zhe4 bu4|AS3|532|M|4 3|1.008
NBI-00113|ying4 dui4|AS3|539|M|3 3|1.664
NBI-00114|tiao2 yue1|THS|039|F|3 1|0.992
NBI-00115|er2 sheng1|THS|026|F|3 1|1.072
NBI-00116|san1 ke1|AS3|216|F|3 3|0.912
NBI-00117|zhan4 zhen1|AS3|261|F|4 4|1.408
NBI-00118|si4 chuan1|THS|057|F|3 3|1.184
NBI-00119|bao1 kuo4|AS1|355|F|3 4|1.280
NBI-00120|qi1 xiang1|AS3|172|F|3 1|1.232
NBI-00121|shang4 de2|AS3|532|M|1 3|0.976
NBI-00122|dian4 ying3|AS3|529|M|1 1|1.296
NBI-00123|cai4 pu2|AS3|525|M|4 4|1.872
NBI-00124|yi4 chou2|AS3|519|M|3 1|0.976
NBI-00125|ren2 jun1|AS1|381|F|2 2|0.928
NBI-00126|ren2 cheng1|AS3|238|F|3 1|1.168
NBI-00127|er2 zai4|AS1|327|F|3 4|0.960
NBI-00128|bing4 bei4|AS1|129|M|1 4|0.928
NBI-00129|yao1 san1|AS3|245|F|3 3|1.120
NBI-00130|dian4 ying3|AS3|542|M|4 4|1.296
NBI-00131|mei3 ci4|AS3|227|F|2 4|1.024
NBI-00132|si4 yue4|THS|033|F|1 1|1.168
NBI-00133|ji4 da4|AS3|533|M|3 3|0.944
NBI-00134|er4 shou3|AS1|337|F|3 3|1.040
NBI-00135|ren4 ding4|AS1|078|M|3 3|1.008
NBI-00136|ye3 ying1|AS1|106|M|3 3|1.680
NBI-00137|tai2 wan1|AS1|483|F|3 2|0.976
NBI-00138|ji1 qing2|THS|031|F|1 3|1.104
